Category,Question,Possible Answer,Source
Role Based,What is the heirarchy in the team I will be working in?,Kindly connect with your TARM to get this query resolved.,Ticket to be raised to TARM
,What is the work mode?,"The work mode is as per your role—onsite, hybrid, or remote.",Ripplehire
,Would it be 5 day or 6 days working?,The number of working days is as per your role— 5 days/ 6 days working.,Ripplehire
Policy Related,Could you tell me about the [policy name]?,"Based on your question, let me give you a brief on [policy name] policy.",
,How is the attendance marking done in Axis?,Attendance is marked through the OneAxis portal.,
,Would there be any business travel involved? If so how does the reimbursement work?,Business travel depends on your role; reimbursements follow the business travel policy.,Business Travel Policy
,What is the leave policy at Axis?,"Axis Bank offers priviledge, sick, and casual leaves as per the leave policy.",Leave Policy
,How do I enroll into mediclaim?,"You can click on the ""Visit"" application and take a look at the mediclaim policy",
,Is there a car policy at Axis?,"Yes, we have a car policy and the eligibility is for SVP1 and above. Please refer to the car policy.",Car Policy
,How do I enroll my dependents or top up mediclaim policy?,"You can click on the ""Visit"" application, enroll your dependents there or top up as per requirement.",
Compensation Related,What would be my in-hand salary?,Your in-hand salary will be as per the offer letter after statutory deductions.,
,What are the salary components in the offer letter?,"Components include fixed pay, allowances, and variable pay.",
,What are the basket of allowances and do I need to opt in to all of them?,You can choose allowances as per your eligibility and preference.,
,How much is the varible pay and how would that get paid?,Variable pay is performance-linked and paid annually as per policy.,
Document Related,What should I submit in additional documents?,Additional documents include offer letter/ appraisal letter that reflects your CTC structure.,
,Is there any file format for submitting the documents?,Documents should be uploaded in PDF or JPEG format.,
,What documents are considered as address proof?,"Accepted proofs include Driving License, Passport, Voter ID, Electricity Bill and Rental Agreement.",
,What if I do not have the degree certificate/ final year marksheet with me?,You can submit a provisional certificate or previous years marksheets.,
,What if I have not resigned yet so I do not have the relieving letter?,"Please share your Salary slips from your current organization, or other documents that contain your date of joining, employee id and designation.",
,What if I do not have the relieving letter other than my current organization?,Submit any available experience letter or HR confirmation.,
Others,Tell me about the culture at Axis bank,"Axis Bank fosters a culture of collaboration, innovation, and inclusivity, empowering employees to learn, grow, and lead.",
,What are the rewards and recognition programs at Axis Bank?,"We have a suite of recognition programs that honor excellence, tenure, and impact:
•	Champions Awards – Celebrating individuals who consistently deliver outstanding results and embody Axis Bank’s values in action.
•	Anchors – Recognizing employees who demonstrate exceptional performance by living the 4 mantras - Own the customer, Own the brand, Act with speed & Zero pendency.
•	OGs – Honoring tenured employees who have reached significant milestones of 5, 10, 15, 20, 25, 30, and 35 years at Axis Bank. This program celebrates their enduring commitment and legacy.
•	Ahead of the Curve – Spotlighting those who lead with agility, innovation, and future-readiness, helping Axis Bank stay ahead in a dynamic environment.
•	Squad Keepers – Applauding frontline managers with zero attrition in their teams who foster collaboration, inclusivity, and a strong sense of camaraderie to help retain the team.
•	Retiring with Pride – A heartfelt celebration of our vintage employees who are retiring, honoring their journey, contributions, and the lasting impact they leave behind.
These programs are more than just awards—they are a reflection of our culture of appreciation, where every employee’s journey is celebrated and every contribution matters.",
,How does Axis Bank support internal movement and skill development?,"Axis Bank is committed to fostering internal growth and career mobility. Through its internal talent marketplace, employees can explore diverse roles across functions and locations. The Bank actively promotes:
•	Internal Career Transitions: Employees are encouraged to move across roles, creating clear career pathways within the organization.
•	Upskilling and Reskilling: A strong focus is placed on continuous learning through structured programs and digital platforms.
•	Hire-Train-Deploy Initiatives: These not only support fresh graduate onboarding but also contribute to building a future-ready workforce.
•	Inclusive Hiring: By welcoming talent from non-banking backgrounds, the Bank brings in diverse perspectives and fosters a culture of learning and adaptability.",
,Who is the leadership of Axis?,Leadership details are available on the Axis Bank website.,
,Does Axis Bank support flexible or remote work?,"Yes, Axis Bank offers a hybrid model, 2–3 onsite days per week for non-customer-facing roles and through GIG-A Opportunities, Axis provides flexible “work-from-anywhere” roles for skilled professionals and freelancers. These models redefine traditional work structure, empowering specialists to contribute on their own terms—no matter where they are.",
,What perks and benefits do employees enjoy?,"Axis offers various perks:
•	Group Mediclaim (GMP) and Group Term Life Insurance (GTLI), with the option for enhanced coverage for extended family members. 
•	Home and vehicle loans at preferential interest rates. 
•	A generous, flexible leave policy designed to support work-life balance. ",
,What initiatives does Axis Bank offer for employee development?,"We prioritize building a future-ready workforce through structured learning. Employees benefit from compliance and induction modules, capability-building frameworks, and leadership training, supported by our evolving Learning & Development infrastructure, including capability factories. ",
,How does Axis Bank foster employee engagement?,"At Axis Bank, we take pride in cultivating a workplace where employees feel valued, inspired, and deeply connected to our purpose. Our engagement philosophy centers around celebrating achievements, fostering belonging, and recognizing contributions that shape our collective success.",
,What are the initiatives at Axis for DEI?,"Axis Bank’s Diversity, Equity & Inclusion (DEI) strategy is built on creating an inclusive and equitable workplace. Key initiatives include:
•	#HouseWorkIsWork: A program that recognizes the transferable skills of individuals returning from career breaks, especially homemakers.
•	Gender Representation in Teams: A policy to ensure every team includes at least one woman.
•	Axis GIG-A: A fully remote, work-from-anywhere model, widely adopted by freelancers and flexible workers.
•	Pause for Bias: Internal programs aimed at addressing unconscious bias, supported by a formal D&I Council.
•	AxisVIBE: A platform for collaborative DEI learning, hosting events and discussions with participation from various organizations.
•	Mentorship Programs: Structured mentoring initiatives like Astros for managerial development, with a focus on ensuring gender diversity among mentees.",DEI Policy